	code	latitude	longitude	elevation	location	datetime
223	KMBFM	-8.5654217	120.31311	1217.0	Station Type MR, Kuwus, Manggarai Barat, Nusa Tenggara Timur	2020-10-01T00:00:00
224	KMMI	-7.0412	113.9157	49.14	Station Kalianget, Indonesia	2006-01-01T00:00:00
225	KMNI	-8.5883	116.0995	0.0	Kota  Mataram  Nusa  Tenggara  Barat  Indonesia	2021-11-26T00:00:00
226	KMPI	-3.6616	133.7044	90.04	Station Kaimana, Papua, Indonesia (BMKG)	2009-01-01T00:00:00
227	KMSI	0.5745	123.98	218.0	Station Kotamubagu, Sulawesi	2008-01-01T00:00:00
228	KOMFI	-8.536	119.547	16.0	Komodo, Manggarai Barat, Nusa Tenggara Timur	2022-09-22T07:45:29.525
229	KORPI	-1.158	129.845	11.0	Kofiau, Raja Ampat, Papua Barat	2022-09-22T07:45:29.525
230	KPJI	-7.3333	108.931	111.0	Station Karang Pucung, Java	2008-01-01T00:00:00
231	KPJM	-7.1883	111.9281	23.0	Type MR, Kapas,Bojonegoro,Jawa Timur	2019-01-01T00:00:00
232	KRAI	-3.318326	128.39476	59.6	Station Kairatu, Seram Bagian Barat, Maluku	2009-10-20T00:00:00
233	KRJI	-2.0912	101.4619	810.88	Station Kerinci, Sumatra	2007-01-01T00:00:00
234	KRK	-8.1521	112.4506	330.26	Station Karangkates, Indonesia	2006-01-01T00:00:00
235	KRSI	-1.82	119.42	60.3	Station Karosa China	2019-11-01T00:00:00
236	KSI	-3.6517	102.5929	539.0	Station Kepahiang, Indonesia	2005-01-01T00:00:00
237	KSJR	-6.83145	106.66215	0.0	REIS Kalapanungal	2018-01-02T00:00:00
238	KTMI	-7.669066	131.579205	59.0	Station Type A, Kormomolin,Kepulauan Tanimbar,Maluku	2019-01-01T00:00:00
239	KTTI	-10.01356	124.5339	87.0	Station Type A, Kolbano,Timor Tengah Selatan,Nusa Tenggara Timur	2019-01-01T00:00:00
240	KUBSI	-4.78121	123.18684	59.0	Kulisusu, Buton Utara, Sulawesi Tenggara	2022-09-22T07:45:29.525
241	KUKI	-0.0394	115.6305	0.0	Kutai  Barat,  Kalimantan  Timur,  Indonesia	2021-11-26T00:00:00
242	KUSI	3.1964	97.3706	29.0	Station Type A, Kluet Utara,Aceh Selatan,Aceh	2019-01-01T00:00:00
243	KWJI	-7.3837	109.9691	868.0	Station Type B Kertek,Wonosobo,Jawa Tengah	2019-01-01T00:00:00
244	KYJR	-7.79915	110.38726	0.0	REIS Kota Yogyakarta	2018-07-02T00:00:00
245	LASI	4.4572	97.9704	4.34	Station Langsa, Aceh, Sumatra, Indonesia (BMKG)	2009-10-20T00:00:00
246	LBFI	-8.48	119.8921	75.0	Station Labuhan Bajo China	2006-12-01T00:00:00
247	LBMI	-0.6379	127.5008	113.91	Station Labuha, Bacan, Indonesia (BMKG)	2007-01-01T00:00:00
248	LBNFM	-8.6017	119.0124	75.0	Station Type MR, Lambu, Nusa Tenggara Barat	2020-01-01T00:00:00
249	LBTSI	-0.475	100.625	417.0	Lintau Buo Utara, Tanah Datar, Sumatera Barat	2022-09-22T07:45:29.525
250	LDSI	2.886	98.157	819.0	Sukandebi, Sumatra Utara	2019-09-16T00:00:00
251	LEM	-6.8266	107.61756	1293.0	Station Lembang, Indonesia	2005-01-01T00:00:00
252	LEM	-6.82325	107.6143	1200.0	Station Lembang, Indonesia	2010-09-29T16:55:00
253	LEMFI	-8.707	120.172	187.0	Lembor, Manggarai Barat, Nusa Tenggara Timur	2022-09-22T07:45:29.525
254	LESM	-4.96147	103.71256	39.0	Type MR, Lemong,Pesisir Barat,Lampung	2019-01-01T00:00:00
255	LHMI	5.2288	96.9472	3.0	GEOFON Station Lhokseumave, Sumatra, Indonesia	2008-02-29T00:00:00
256	LHSI	-3.8267	103.5233	183.68	Station Lahat, Sumatra	2008-01-01T00:00:00
257	LHSM	-4.1779734	103.5742079	1494.0	Type MR, Semendo,Lahat,Sumatera Selatan	2019-01-01T00:00:00
258	LISM	4.4785	96.78746	1374.0	Type MR, Lingge Isaq,Aceh Tengah,Aceh	2019-01-01T00:00:00
259	LJPI	-3.1271	139.945	405.0	Station Type A, Lereh,Jayapura,Papua	2019-01-01T00:00:00
260	LKCI	-3.4921	120.8858	75.0	Station Type A, Lasusua, Lasusua, Sulawesi Tenggara	2019-01-01T00:00:00
261	LKSM	0.1845	100.6007	186.0	Type MR, Suliki,Limapuluh Koto,Sumatera Barat	2019-01-01T00:00:00
262	LKUCM	-3.2924	122.2332	107.0	Station Type MR, Langgikima, Sulawesi Tenggara	2020-11-01T00:00:00
263	LLSI	-3.27843	102.9139	129.0	Station Type B Lubuk Linggau Barat,Kota Lubuk Linggau,Sumatera Selatan	2019-01-01T00:00:00
264	LLSM	-5.60039	104.80943	37.0	Type MR, Limau,Tanggamus,Lampung	2019-01-01T00:00:00
265	LMNI	-8.23386	123.7157	74.0	Station Lembata China	2019-11-01T00:00:00
266	LMTI	-8.6011	120.4771	1145.0	Station Type A, Langke Rembong,Manggarai,Nusa Tenggara Timur	2019-01-01T00:00:00
267	LOCM	-1.6502	120.1825	1370.0	Type MR, Lore Tengah,Poso,Sulawesi Tengah	2019-01-01T00:00:00
268	LOMSI	-4.91095	122.74157	58.0	Lohia, Muna, Sulawesi Tenggara	2022-09-22T07:45:29.525
269	LPCM	-3.5012	119.5378	29.0	Type MR, Lembang,Pinrang,Sulawesi Selatan	2019-01-01T00:00:00
270	LPJR	-7.50391	108.40168	558.0	REIS Langkaplancar	2018-01-02T00:00:00
271	LPSM	-1.7082	100.7196	110.0	Type MR, Lengayang,Pesisir Selatan,Sumatera Barat	2019-01-01T00:00:00
