	code	latitude	longitude	elevation	location	datetime
402	POCI	-1.420317	120.656954	10.0	Station Type A, Poso Pesisir,Poso,Sulawesi Tengah	2019-01-01T00:00:00
403	POKJI	-8.053	112.812	906.0	Poncokusumo, Malang, Jawa Timur	2022-09-22T07:45:29.525
404	POPJI	-8.26416	111.80227		Tide Gauge network	2016-07-01T00:00:00
405	PPBI	-2.1616	106.1364	63.55	Station Pangkal Pinang, Bangka	2007-01-01T00:00:00
406	PPCM	-3.727	119.7269	48.0	Type MR, Patampanua,Pinrang,Sulawesi Selatan	2019-01-01T00:00:00
407	PPI	-0.455476	100.397217	783.6	Station Padangpanjang, Indonesia	2005-01-01T00:00:00
408	PPJI	-7.70444	112.6352777	885.0	Tretes, Jawa, Indonesia	2018-10-22T00:00:00
409	PPJR	-8.20457	111.08801	8.0	REIS Pacitan	2018-07-02T00:00:00
410	PPLI	-5.74103	105.14486	63.0	Station Type B Punduh Pedada,Pesawaran,Lampung	2019-01-01T00:00:00
411	PPSI	-2.766	100.01	6.0	Station Pulau Pagai, Sumatra	2008-01-01T00:00:00
412	PPSM	-5.3182	104.0156	3.0	Type MR, Pesisir Selatan,Pesisir Barat,Lampung	2019-01-01T00:00:00
413	PPSN	-1.35	100.579	6.0	BPBD KABUPATEN PESISIR SELATAN	2017-01-01T00:00:00
414	PRJI	-8.07216	110.79178	337.0	Station Type B Pracimantoro,Wonogiri,Jawa Tengah	2019-01-01T00:00:00
415	PRLJI	-8.232273	113.114018	159.0	Station Type A, Pasiran, Lumajang, Jawa Timur	2022-09-22T07:45:29.525
416	PRSI	0.37	102.17	0.0	Pelalawan,  Riau,  Sumatra,  Indonesia	2021-11-26T00:00:00
417	PRSN	-0.7856	100.3048	16.0	Stasiun Meteorologi Kelas II Minangkabau	2015-01-01T00:00:00
418	PSI	2.695	98.924	1051.0	Station Rantau Prapat, Sumatra, Indonesia (CTBTO)	2006-01-01T00:00:00
419	PSJCM	-7.06	120.620245	79.0	Station Type MR, Pasimassungu, Kep. Selayar, Sulawesi Selatan	2020-10-01T00:00:00
420	PSJM	-6.96858	106.54906	205.0	Type MR, Pelabuhan Ratu,Sukabumi,Jawa Barat	2019-01-01T00:00:00
421	PSLI	-5.93732	105.51004	39.0	Station Type B Rajabasa P. Sibesi,Lampung Selatan,Lampung	2019-01-01T00:00:00
422	PSSI	2.73532	125.4045	1253.0	Siau, Sulawesi Utara	2018-11-22T00:00:00
423	PSSM	-5.86438	104.69528	6.0	Type MR, Pematang Sawah,Tanggamus,Lampung	2019-01-01T00:00:00
424	PSSN	1.5534	98.8969	6.0	STAMET PINANG SORI SIBOLGA	2017-01-01T00:00:00
425	PTJI	-6.2655167	106.748825	76.0	Station Type B Pondok Aren,Tangerang Selatan,Banten	2019-01-01T00:00:00
426	PTKI	-0.14195	109.40296	36.0	Station Pontianak, Kalimantan, Indonesia (JISNET)	2006-03-03T00:00:00
427	PTSM	2.011856	99.166011	1196.0	Type MR, Pangaribuan,Tapanuli Utara,Sumatera Utara	2019-01-01T00:00:00
428	PUPSI	-1.733	120.676	670.0	Pamona Utara, Poso, Sulawesi Tengah	2023-07-27T07:45:29.525
429	PWCM	-3.6739	120.4005	102.0	Station Type MR, Pitumpanua, Sulawesi Selatan	2020-01-01T00:00:00
430	PWJI	-8.021887	111.804112	205.0	Station Pagerwojo, Java	2008-01-01T00:00:00
431	RAPI	-0.4102	130.8211	108.6	Station RAPI	2006-01-01T00:00:00
432	RASM	-2.1655	101.0708	100.0	Type MR, Ranah Ampek Hulu Tapan,Pesisir Selatan,Sumatera Barat	2019-01-01T00:00:00
433	RBSI	-5.84445	105.742	224.44	Station Rajabasa, Sumatra	2008-01-01T00:00:00
434	RDCM	-1.295483	119.552463	44.0	Type MR, Rio Pakava,Donggala,Sulawesi Tengah	2019-01-01T00:00:00
435	RGRI	-0.3491	102.3338	40.93	Station Rengat, Sumatra	2007-01-01T00:00:00
436	RHRSI	1.44	100.51	0.0	Rokan  Hilir,  Riau,  Sumatra,  Indonesia	2021-11-26T00:00:00
437	RITA	-7.163845	110.183745	749.0	Station Type B, Gemawang Temanggung	2021-12-31T00:00:00
438	RKCM	-2.9402467	121.5806317	495.0	Station Type MR, Rauta, Sulawesi Tenggara	2020-01-01T00:00:00
439	RKPI	-1.5107	134.1773	106.2	Station Ransiki, Papua; Indonesia (BMKG)	2009-01-01T00:00:00
440	RLSI	2.0687	99.8455	29.0	Station Type A, Rantau Selatan,Labuhan Batu,Sumatera Utara	2019-01-01T00:00:00
441	RMSM	-2.62326	102.7617	56.0	Type MR, Rawas Hulu,Musi Rawas,Sumatera Selatan	2019-01-01T00:00:00
442	RNFM	-8.429345	121.0261133	84.0	Station Type MR, Riung, Ngada, NTT	2020-10-01T00:00:00
443	RONI	-10.76	123.07	200.3	Station Rote China	2019-11-01T00:00:00
444	ROTTI	-10.806	123.013	139.0	Rote Barat Daya, Rote Ndao, Nusa Tenggara Timur	2022-09-22T07:45:29.525
445	RPSI	2.0723	99.8325	78.0	Station Rantau Parapat, Sumatra	2008-01-01T00:00:00
446	RRHRI	0.571374	100.427397	92.0	Station Type A, Rokan IV Kota, Rokan Hulu, Riau	2022-09-22T07:45:29.525
447	RRSI	0.84096	100.34611	78.0	Station Type A, Rambah,Rokan Hulu,Riau	2019-01-01T00:00:00
448	RSJR	-7.33071	106.51978	104.0	REIS Ciracap	2018-01-02T00:00:00
449	RSNI	-8.91	117.56	0.0	Ropang,  Sumbawa,  Nusa  Tenggara  Barat,  Indonesia	2021-11-26T00:00:00
450	RSSM	2.597922	98.782984	1542.0	Type MR, Ronggurnihuta,Samosir,Sumatera Utara	2019-01-01T00:00:00
451	RTBI	-8.4597	114.942	300.74	Station Rangdo, Negare, Bali, Indonesia (BMKG)	2009-01-01T00:00:00
452	SAASI	5.562	95.525	42.0	Seulimum, Aceh Besar, Aceh	2022-09-22T07:45:29.525
453	SADLY	-6.5737854	106.074132	292.0	Station Gunung Kencana, Indonesia	2021-12-23T00:00:00
454	SAKJI	-7.686	110.155	706.0	Samigaluh, Kulonprogo, DIY	2023-06-10T04:50:00
455	SAMKI	-0.189252	110.36367	30.0	Sanggau, Meliau, Kalimantan Barat	2023-12-02T08:00:00
456	SANI	-2.049695	125.988104	24.0	GEOFON Station Sanana, Indonesia	2009-11-26T00:00:00
457	SAPSI	-1.0	120.464	25.0	Sausu, Parigi Moutong, Sulawesi Tengah	2022-09-22T07:45:29.525
458	SASI	0.12411	99.87537	168.0	Simpang Empat, Sumatra, Indonesia	2018-10-22T00:00:00
459	SASM	4.8795	95.4825	104.0	Type MR, Sampoiniet,Aceh Jaya,Aceh	2019-01-01T00:00:00
460	SASN	2.6583	97.9978	50.0	Noncollocated_DS(Seismotek) Subulussalam	2020-11-17T00:00:00
461	SATPI	-1.972	138.87	14.0	Sarmi Timur, Sarmi, Papua	2023-08-14T07:45:29.525
462	SAUI	-7.9826	131.2988	110.0	GEOFON Station Saumlaki, Indonesia	2009-06-29T00:00:00
463	SBBM	-8.2031	114.9179	111.0	Station Type MR, Seririt, Bali	2020-10-01T00:00:00
464	SBJI	-6.1117	106.1318	64.48	Station Serang, Indonesia	2006-01-01T00:00:00
465	SBJM	-7.967995	110.266119	17.0	Type MR, Sanden,Bantul,D.I Yogyakarta	2019-01-01T00:00:00
466	SBNI	-10.492279	121.846004	14.5	Sabu, Nusa Tenggara Timur	2017-12-01T00:00:00
467	SBSI	1.3988	99.431	291.51	Station Sibolga, Sumatra	2007-01-01T00:00:00
468	SBSM	0.1983	99.3775	1.0	Type MR, Sungai Beremas,Pasaman Barat,Sumatera Barat	2019-01-01T00:00:00
469	SBSSI	-1.206	119.889	221.0	Sigi Biromaru, Sigi, Sulawesi Tengah	2022-09-22T07:45:29.525
470	SCJI	-7.681	109.16892	45.0	Station Gunung Srandil, Java, BMG, Indonesia	2007-01-01T00:00:00
471	SCJM	-6.8437	107.2221	327.0	Type MR, Sukaluyu,Cianjur,Jawa Barat	2019-01-01T00:00:00
472	SCJR	-7.0978	107.13175	910.0	REIS Sukanagara	2018-01-02T00:00:00
473	SDCI	-0.494155	119.768722	27.0	Station Type A, Sindue,Donggala,Sulawesi Tengah	2019-01-01T00:00:00
474	SDSI	-0.9325	101.428	213.32	Station Sungai Dareh, Sumatra	2008-01-01T00:00:00
475	SDSM	2.75379	98.28677	1018.0	Type MR, Sidikalang,Dairi,Sumatera Utara	2019-01-01T00:00:00
476	SEJI	-7.0051	111.7288	120.0	Station Type B Senori,Tuban,Jawa Timur	2019-01-01T00:00:00
477	SEJM	-6.8726	108.5852	342.0	Type MR, Sedong,Cirebon,Jawa Barat	2019-01-01T00:00:00
478	SEME	-6.99317	110.37552	0.0	STASIUN METEOROLOGI SEMARANG	2007-01-01T00:00:00
479	SEMI	-2.917032	129.820841	60.0	Station Type A, Seram Utara Timur Seti,Maluku Tengah,Maluku	2019-01-01T00:00:00
480	SGKI	0.530205	117.604347	182.0	Station Sangata, Kalimantan, Indonesia (BMKG)	2009-01-01T00:00:00
481	SGSI	3.686	125.5286	100.47	Station Sangihe, BMG	2007-01-01T00:00:00
482	SICJI	-7.472	108.808	68.0	Sidareja, Cilacap, Jawa Tengah	2023-08-14T07:45:29.525
483	SIJI	-0.86912	131.26605	201.0	Station Sorong, Indonesia (CTBTO AS042)	2010-01-01T00:00:00
484	SIJM	-7.41011	112.760504	24.0	Type MR, Sidoarjo,Sidoarjo,Jawa Timur	2019-01-01T00:00:00
485	SIRSI	0.86	101.66	0.0	Siak,  Riau,  Sumatra,  Indonesia	2021-11-26T00:00:00
486	SISI	-1.3265	99.0895	47.2	Station Saibi, Sumatra	2008-01-01T00:00:00
487	SISM	4.6082	96.7288	1034.0	Type MR, Silih Nara,Aceh Tengah,Aceh	2019-01-01T00:00:00
488	SISMI	-1.7806	99.14018	39.0	Siberut Selatan, Kepulauan Mentawai, Sumatera Barat	2022-09-22T07:45:29.525
489	SIUMI	-1.126	98.98	9.0	Siberut Utara, Kepulauan Mentawai, Sumatera Barat	2023-07-27T07:45:29.525
490	SJPM	-2.5698	140.502	192.0	Station, Type MR, Sentani, Jayapura	2020-10-01T00:00:00
491	SKJI	-7.0053	106.5563	100.35	Station Sukabumi, Java	2007-01-01T00:00:00
492	SKKN	0.94457	109.01528	42.0	BPBD KOTA SINGKAWANG	2010-01-01T00:00:00
493	SKPM	-3.4485	140.7256	343.0	Station Type MR, Senggi, Keerom, Papua	2020-10-01T00:00:00
494	SKSI	5.894472	95.31271	12.0	Station Type A, Sukakarya,Kota Sabang,Aceh	2019-01-01T00:00:00
495	SKSM	-1.946	101.3497	956.0	Type MR, Siulak Mukai,Kerinci,Jambi	2019-01-01T00:00:00
496	SLBFM	-8.796215	115.934067	77.0	Station Type MR, Sekotong Tengah, Nusa Tenggara Barat	2020-11-01T00:00:00
497	SLSI	-2.3924	102.5927	76.83	Station Sarolangun, Jambi Indonesia (BMKG)	2009-01-01T00:00:00
498	SLSM	-0.83132	100.65342	389.0	Type MR, Sungai Lasi,Solok,Sumatera Barat	2019-01-01T00:00:00
499	SMKI	-0.4461	117.2085	97.28	Station Samarinda, Kalimantan	2007-01-01T00:00:00
500	SMPI	-1.981115	138.710799	111.0	Station Sarmi, Irian Jaya	2008-01-01T00:00:00
501	SMRI	-7.04915	110.44067	203.0	GEOFON Station Semarang, Java, Indonesia	2006-11-01T00:00:00
502	SMSI	0.9885	122.3654	85.39	Station Sumalata, BMG, Indonesia	2012-01-01T00:00:00
503	SMSM	-0.005923	100.17103	361.0	Type MR, Simpati,Pasaman,Sumatera Barat	2019-01-01T00:00:00
504	SNBI	0.963245	97.429538	4.0	Station Type A, Sirombu,Nias Barat,Sumatera Utara	2019-01-01T00:00:00
505	SNJI	-7.7808	111.7591	1341.0	Station Sawahan, Indonesia (JISNET)	2006-01-01T00:00:00
506	SNSI	2.4089	96.3267	14.48	Station Sinabang, Aceh, Indonesia (BMKG)	2009-01-01T00:00:00
507	SOEI	-9.7553	124.2672	0.0	GEOFON Station Soe, Indonesia	2008-12-09T00:00:00
508	SOMPI	-8.431	141.007	38.0	Sota, Merauke, Papua	2022-09-22T07:45:29.525
509	SPJN	-7.407452	109.25373	152.0	Univ.Jend Sudirman Purwokerto	2018-10-23T00:00:00
510	SPSI	-3.9646	119.7691	142.0	Station Sidrap, Sulawesi	2008-01-01T00:00:00
511	SPSJM	-6.6669333	107.6136017	659.0	Station Type MR, Serang Panjang, Jawa Barat	2020-11-01T00:00:00
512	SPSM	2.51596	98.37383	999.0	Type MR, Sitellu Tali Urang Julu,Pakpak Bharat,Sumatera Utara	2019-01-01T00:00:00
513	SRBI	-8.0848	115.2126	111.5	Station Singaraja, Bali	2008-01-01T00:00:00
514	SRMI	-2.941451	129.18185	18.0	Station Type A, Seram Utara,Maluku Tengah,Maluku	2019-01-01T00:00:00
515	SRPI	-1.876922	136.240169	101.0	Station Serui, Papua, Indonesia (BMKG)	2009-01-01T00:00:00
516	SRSI	-2.531554	120.877791	36.0	Sorowako, Sulawesi Selatan	2017-12-01T00:00:00
517	SSASI	2.83	95.925	17.0	Simeulue Barat, Simeulue, Aceh	2022-09-22T07:45:29.525
518	SSJM	-6.8872	106.9626	841.0	Type MR, Sukaraja,Sukabumi,Jawa Barat	2019-01-01T00:00:00
519	SSKI	0.817173	108.970255	20.0	Singkawang, Kalimanta	2017-12-01T00:00:00
520	SSMI	-3.736706	130.828774	65.0	Station Type A, Siritaun Wida Timur,Seram Bagian Timur,Maluku	2019-01-01T00:00:00
521	SSSI	2.67492	97.97077	56.0	Subulussalam, Sumatra, Indonesia	2018-10-22T00:00:00
522	SSSM	-1.56407	101.23747	563.0	Type MR, Sangir,Solok Selatan,Sumatera Barat	2019-01-01T00:00:00
523	SSSN	-0.6636	100.9408	162.0	Noncollocated_DS(Seismotek) Sijunjung	2020-11-12T00:00:00
524	STKI	0.0656	111.4772	87.78	Station Sintang, Kalimantan	2007-01-01T00:00:00
525	STPI	-0.46835	132.1256	24.0	Station Type A, Sausapor,Tambrauw,Papua Barat	2019-01-01T00:00:00
526	STSI	-2.38874	101.04783	16.0	Station Type B Silaut,Pesisir Selatan,Sumatera Barat	2019-01-01T00:00:00
527	SUPJI	-6.796	105.515	51.0	Sumur, Pandeglang, Banten	2022-09-22T07:45:29.525
528	SUSM	-5.0212	104.2945	1055.0	Type MR, Sekincau,Lampung Barat,Lampung	2019-01-01T00:00:00
529	SUSPI	-0.732	135.734	11.0	Supiori Timur, Supiori, Papua	2023-08-07T07:45:29.525
530	SWCM	-4.2145	120.0109	23.0	Type MR, Sabbang Paru,Wajo,Sulawesi Selatan	2019-01-01T00:00:00
531	SWI	-0.8628	131.2592	128.88	Station Sorong, Indonesia	2006-01-01T00:00:00
532	SWJI	-7.7349	111.7669	723.33	Station Sawahan, Java	2007-01-01T00:00:00
533	SWPM	-0.8035	133.594	172.0	Station Type MR, Sidey, Manokwari, Papua	2020-10-01T00:00:00
534	SYJI	-7.7483	110.4914	0.0	Sleman,  Yogyakarta,  Jawa,  Indonesia	2021-11-26T00:00:00
535	TAGJI	-8.077	110.585	243.0	Tanjungsari, Gunung Kidul, DIY	2023-06-11T05:00:00
536	TAJN	-8.0779	111.9071	120.0	BPBD TULUNG AGUNG	2016-01-01T00:00:00
537	TAMI	-3.675906	128.110803	101.0	Station Type A, Teluk Ambon,Kota Ambon,Maluku	2019-01-01T00:00:00
538	TAPSI	-3.332	119.249	56.0	Tapango, Polewali Mandar, Sulawesi Barat	2022-09-22T07:45:29.525
539	TARAI	3.32712	117.57037	95.0	Station Tarakan, Kalimantan, Indonesia (JISNET)	2000-01-01T00:00:00
540	TASE	-6.3519	106.6626	86.0	ORTN BRIN Serpong	2010-01-01T00:00:00
541	TASI	-0.3241	100.0791	25.0	Station Type A, Tanjung Raya,Agam,Sumatera Barat	2019-01-01T00:00:00
542	TASSI	2.347	125.386	46.0	Tagulandang, Siau Tagulandang Biaro, Sulawesi Utara	2022-09-22T07:45:29.525
543	TBCM	-4.9117704	120.28299	64.0	Type MR, Tonra,Bone,Sulawesi Selatan	2019-01-01T00:00:00
544	TBJI	-6.8179	111.8481	54.45	Station Tambak Boyo, Java	2008-01-01T00:00:00
545	TBJKI	-1.847503	115.624908	81.6	Jaro, Tabalong, Kalimantan Selatan	2023-12-21T08:00:00
546	TBKI	2.136	117.4241	22.0	Station Type A, Teluk Bayur,Berau,Kalimantan Timur	2019-01-01T00:00:00
547	TBMCM	0.7139	124.59	254.0	Station Type MR, Tutuyan, Bolaang Timur, Mongondow, Manado	2020-10-01T00:00:00
548	TBMUI	-1.9	124.344	8.0	Taliabu Barat, Pulau Taliabu, Maluku Utara	2023-08-07T07:45:29.525
549	TDNI	0.574382	97.819617	59.0	Teluk Dalam, Pulau Nias	2017-12-01T00:00:00
550	TEBBI	-8.151183	115.373344	301.5	Tejakula, Buleleng, Bali	2023-12-04T00:00:00
551	TGCM	0.5201	123.0778	163.0	Type MR, Telaga,Gorontalo,Gorontalo	2019-01-01T00:00:00
552	TGJI	-6.8679	109.121	43.84	Station Tegal, Java	2007-01-01T00:00:00
553	TIKSI	-3.977	121.866	137.0	Tinondo, Kolaka Timur, Sulawesi Tenggara	2022-09-22T07:45:29.525
554	TIPSI	0.489	120.419	41.0	Tinombo / Palasa, Parigi Moutong, Sulawesi Tengah	2022-09-22T07:45:29.525
555	TKJN	-7.9028	110.0656	50.0	Stasiun Meteorologi Kulon Progo	2017-01-01T00:00:00
556	TKSM	3.1374	98.3244	720.0	Type MR, Tiganderket,Karo,Sumatera Utara	2019-01-01T00:00:00
557	TLCM	-2.50925	120.79436	86.0	Type MR, Tomoni,Luwu Timur,Sulawesi Selatan	2019-01-01T00:00:00
558	TLE	-5.6373	132.7373	113.0	Station Tual, Indonesia	2005-01-01T00:00:00
559	TLE2	-5.69943	132.73952	34.0	Station Tual, Kai, JISNET, Indonesia	2010-01-01T00:00:00
560	TMSI	1.294812	124.925571	771.0	Station TMSI	2013-01-01T00:00:00
561	TMSM	-2.69954	101.44633	118.0	Type MR, Teramang Jaya,Mukomuko,Bengkulu	2019-01-01T00:00:00
562	TMTMM	-3.2979	129.53	90.0	Station Type MR, Tehoru, Maluku Tengah	2020-10-01T00:00:00
563	TNG	-6.1719	106.6469	51.25	Station Tangerang, Indonesia	2006-01-01T00:00:00
564	TNGI	-6.172	106.647	40.0	Station Tangerang China	2006-01-01T00:00:00
565	TNSR	1.46933	97.44152	0.0	REIS Tuhemberua	2018-07-02T00:00:00
566	TNTI	0.7718	127.3667	43.0	GEOFON Station Ternate, Indonesia	2007-01-05T00:00:00
567	TNTN	-9.4572	124.4741	438.0	Noncollocated_DS(Seismotek) Timor Tengah Utara	2020-10-29T00:00:00
568	TOBSI	-1.446	122.25	43.0	Toili, Banggai, Sulawesi Tengah	2022-09-22T07:45:29.525
569	TOCM	-2.647398	121.408032	342.0	Type MR, Towuti,Luwu Timur,Sulawesi Selatan	2019-01-01T00:00:00
570	TOJI	-6.7621	108.1344	73.0	Station Type B Tomo,Sumedang,Jawa Barat	2019-01-01T00:00:00
571	TOLI2	1.11119	120.78174	51.0	GEOFON Station Tolitoli, Sulawesi, Indonesia	2011-07-14T00:00:00
572	TOTSI	-1.15292	121.28416	24.0	Tojo, Tojo Una-Una, Sulawesi Tengah	2022-09-22T07:45:29.525
573	TPCI	0.467467	121.099286	13.0	Station Type A, Taopa,Parigi Moutong,Sulawesi Tengah	2019-01-01T00:00:00
574	TPI	-2.75633	107.65345	25.0	Station Tanjung Pandang, Belitung, Indonesia	2006-12-22T00:00:00
575	TPRI	0.9193	104.5208	41.46	Station Tanjung Pinang, Sumatra	2007-01-01T00:00:00
576	TPSI	4.923159	96.017023	54.0	Station Type A, Tangse,Pidie,Aceh	2019-01-01T00:00:00
577	TPTI	3.2618	97.1774	2.8	Station Tapaktuan China	2006-01-01T00:00:00
578	TRIYO	-2.0601	99.583	88.0	Station Type MR, Sipora Selatan, Kep. Mentawai	2020-10-01T00:00:00
579	TRPI	-6.0989	140.3	99.0	Tanah Merah, Papua	2019-10-24T00:00:00
580	TRSI	2.0256	98.9594	978.5	Station Tarutung, Sumatra	2007-01-01T00:00:00
581	TSI	3.5012	98.5645	89.27	Station Tuntungan, Indonesia	2006-01-01T00:00:00
582	TSJM	-6.7319	107.8109	420.0	Type MR, Tanjungsiang,Subang,Jawa Barat	2019-01-01T00:00:00
583	TSJN	-7.32	108.22	92.0	BPBD Tasikmalaya - VSAT	2014-11-21T00:00:00
584	TSJR	-7.42336	106.71913	91.0	REIS Tegalbuleud	2018-01-02T00:00:00
585	TSNI	-8.71	118.28	0.0	Tarano,  Nusa  Tenggara  Barat,  Indonesia	2021-11-26T00:00:00
586	TSPI	-1.4733	132.0898	62.0	Station Type A, Teminabuan,Sorong Selatan,Papua Barat	2019-01-01T00:00:00
587	TTPSI	-4.818388	119.761719	365.0	Station Type A, Tondong Talasa, Pangkep, Sulawesi Selatan	2022-09-22T07:45:29.525
588	TTSI	-3.0451	119.819	950.4	Station Tana Toraja, Sulawesi	2008-01-01T00:00:00
589	TTSM	1.0856	99.4108	173.0	Type MR, Tano Tombangan Angkola,Tapanuli Selatan,Sumatera Utara	2019-01-01T00:00:00
590	TTSMI	-2.864	128.727	11.0	Taniwel Timur, Seram Bagian Barat, Maluku	2023-08-05T07:45:29.525
591	TUJI	-8.4018	113.7322	79.0	Station Type B Tumpakrejo,Jember,Jawa Timur	2019-01-01T00:00:00
592	TWSI	-8.7381	116.8821	86.6	Station Taliwang, Sumbawa, Indonesia (BMKG)	2009-01-01T00:00:00
593	UASN	5.07691	97.30382	40.0	Noncollocated_DS(Seismotek) Aceh Utara	2020-11-17T00:00:00
594	UBSI	-3.7611	102.2714	28.05	Station Bengkulu, Sumatra, Indonesia (BMKG)	2006-01-01T00:00:00
595	UGM	-7.9125	110.5231	350.0	GEOFON Station Wanagama, Indonesia	2006-06-29T00:00:00
596	UIDB	-6.349021	106.826926	81.2	UIDB	2019-01-01T00:00:00
597	UIDS	-6.349112	106.826683	54.3	UIDS	2019-01-01T00:00:00
598	UKCM	-3.857	122.0431	122.0	Station Type MR, Unaaha, Sulawesi Tenggara	2020-11-01T00:00:00
599	ULMSI	-3.052255	118.874557	476.7	Ulumanda, Majene, Sulawesi Barat	2023-12-04T00:00:00
600	ULSM	-3.7588	102.7941	284.0	Type MR, Ulu Musi,Empat Lawang,Sumatera Selatan	2019-01-01T00:00:00
601	UMKSI	-3.59	102.548	709.0	Ujan Mas, Kepahiang, Bengkulu	2022-09-22T07:45:29.525
602	UMSSI	-9.897	120.661	50.0	Umalulu, Sumba Timur, Nusa Tenggara Timur	2023-07-31T07:45:29.525
603	USFM	-8.41198	117.14111	85.0	Station Type MR, Utan, Nusa Tenggara Barat	2020-11-01T00:00:00
604	USTI	-9.6543	119.7878	449.0	Station Type A, Umbu Ratu Nggay,Sumba Tengah,Nusa Tenggara Timur	2019-01-01T00:00:00
605	UTSI	-5.31257	104.55095	882.0	Station Type B Ulu Belu,Tanggamus,Lampung	2019-01-01T00:00:00
606	UTSM	-4.08339	102.72849	113.0	Type MR, Ulu Talo,Seluma,Bengkulu	2019-01-01T00:00:00
607	UTUSI	-0.427364	121.860561	76.0	Station Type A, Una-Una, Tojo Una-Una, Sulawesi Tengah	2022-09-22T07:45:29.525
608	UWJI	-6.4191	110.9474	61.52	Station Ujung Watu, Java	2009-01-01T00:00:00
609	UWNPI	-3.479	135.587	117.0	Uwapa, Nabire, Papua	2023-08-04T07:45:29.525
610	WAMI	-4.09593	138.95004	1673.0	Station Wamena, Irian Jaya	2008-09-05T00:00:00
611	WANPI	-3.421	135.376	12.0	Wanggar, Nabire, Papua	2022-09-22T07:45:29.525
612	WBMI	0.3393	127.8708	25.0	Station Type A, Weda Barat,Halmahera Tengah,Maluku Utara	2019-01-01T00:00:00
613	WBNI	-8.3026	118.8872	0.0	Wera,  Bima,  Nusa  Tenggara  Barat,  Indonesia	2021-11-26T00:00:00
614	WBSI	-9.6411	119.3911	456.67	Station Waikabubak, Sumba, Indonesia (BMKG)	2009-01-01T00:00:00
615	WEFM	-8.6069517	121.7178533	114.0	Station Type MR, Wewaria, Ende, NTT	2020-10-01T00:00:00
616	WFTFM	-8.5247	122.71	354.0	Staation Type MR, Wulanggitang, Flores Timur, NTT	2020-10-01T00:00:00
617	WGJM	-7.3833	112.5098	35.0	Type MR, Wringianom,Gresik,Jawa Timur	2019-01-01T00:00:00
618	WGJR	-7.967	110.603933	208.0	REIS Wonosari Gunung Kidul	2018-07-02T00:00:00
619	WHMI	1.0825	128.132	41.0	Station Type A, Wasile,Halmahera Timur,Maluku Utara	2019-01-01T00:00:00
620	WKCM	-3.8259	121.2993	116.0	Station Type MR, Wolo, Sulawesi Tenggara	2020-11-01T00:00:00
621	WLFM	-8.5311	123.4499	80.0	Station Type MR, Wulandoni, Lembata, NTT	2020-10-01T00:00:00
622	WLJI	-6.8310983	105.8909467	46.0	Station Type B Wonosalam,Lebak,Banten	2019-01-01T00:00:00
623	WLPU	-6.3823	107.3603	33.0	BMG-Net, Indonesia (IA-Net)	2019-10-31T00:00:00
624	WLTFM	-8.51818	116.5407	533.0	Station Type MR, Wanasaba, Nusa Tenggara Barat	2020-11-01T00:00:00
625	WMCM	-2.2162	121.622	7.0	Type MR, Wita Ponda,Morowali,Sulawesi Tengah	2019-01-01T00:00:00
626	WOJI	-7.8372	110.9236	183.62	Station Wonogiri, Java, Indonesia (BMKG)	2009-01-01T00:00:00
627	WRJI	-7.81129	113.74565	491.0	Station Type B Curahdami,Bondowoso,Jawa Timur	2019-01-01T00:00:00
628	WSHHI	0.764	127.813	24.0	Wasile Selatan, Halmahera Timur, Maluku Utara	2022-09-22T07:45:29.525
629	WSI	-9.6689	120.297666	48.0	Station Waingapu, JISNET Indonesia	2005-01-01T00:00:00
630	WSJM	-6.97472	106.7247	310.0	Type MR, Warungkiara,Sukabumi,Jawa Barat	2019-01-01T00:00:00
631	WSTMM	-3.45296	129.995	86.0	Station Type MR, Werinama, Maluku	2020-11-01T00:00:00
632	WTKSI	-4.03	123.22	21.0	Wawonii Timur Laut, Konawe Kepulauan, Sulawesi Tenggara	2022-09-22T07:45:29.525
633	WUPCM	-3.0063	120.1927	94.0	Station Type MR, Wara Utara, Sulawesi Selatan	2020-11-01T00:00:00
634	WWCI	-5.2724	123.5251	26.0	Station Type A, Wangi-wangi,Wakatobi,Sulawesi Tenggara	2019-01-01T00:00:00
635	WWPI	-2.313	136.3773	16.0	Station Type A, Waropen Bawah,Waropen,Papua	2019-01-01T00:00:00
636	YBYPI	-1.831	136.063	32.0	Yapen Barat, Kepulauan Yapen, Papua	2022-09-22T07:45:29.525
637	YOGI	-7.8166	110.295	176.0	Station Yogyakarta China	2006-01-01T00:00:00
638	YOGI2	-7.82	110.29	148.097	YOGI2	2023-11-14T07:46:33
614719	AAI	-3.687158	128.194313	100.0	Station LIBRA, Karang Panjang, Sirimau, Kota Ambon, Maluku	2006-01-01T00:00:00
614720	AAII	-3.687158	128.194331	100.0	Station ex-CEA, Karang Panjang, Sirimau, Kota Ambon, Maluku	2006-12-01T00:00:00
614795	BSMI	-3.107622	130.49381	45.0	Station Bula, Tansi Ambon, Bula, Seram Bagian Timur, Maluku	2016-11-26T00:00:00
614884	IGBI	-8.818	115.146	248.0	Station Ingas Bali China	2006-12-01T00:00:00
614928	KJPI	-6.155971	106.842266			2024-09-10T04:13:03
614940	KLSI	-4.6871	104.7317	80.7	Station Kotabumi China	2007-07-01T00:00:00
614951	KRAI	-3.318365	128.394745	61.0	Station LIBRA, Ursana, Kairatu, Seram Bagian Barat , Maluku (BMKG)	2009-10-20T00:00:00
